Region,Asset Type, Site Name , Owner , Technology Type , Fuel Type , DUID ,Number of Units,Lower Nameplate Capacity (MW),Upper Nameplate Capacity (MW),Aggregated Lower Nameplate Capacity (MW),Aggregated Upper Nameplate Capacity (MW),Nameplate Capacity (MW),Storage Capacity (MWh),Unit Status,Dispatch Type,Full Commercial Use Date,Expected Closure Year,Closure Date,Status Bucket Summary,Fuel Bucket Summary,SurveyId, AEMO KCI Id , Survey Last Requested , Survey Version DateTime 
 NSW1 ,Project,Goulburn River Solar Farm And BESS,Goulburn River Fund Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,140,, 4.20 ,, 588.00 , 588.00 ,, Committed ,SS,Mar 2027,2067,,Committed, Solar ,2190,N00051,May 2025,01-04-2025
 NSW1 ,Project,Goulburn River Solar Farm And BESS,Goulburn River Fund Pty Ltd, Storage - Battery ,Other - Other,,56,, 0.89 ,, 49.84 , 49.84 ,400.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2190,N00051,May 2025,01-04-2025
 SA1 ,Project,Gould Creek BESS,Gould Creek BESS Project Pty Ltd, Storage - Battery ,Other - Other,,1,, 215.00 ,, 215.00 , 215.00 ,430.00, Publicly Announced ,S,,2047,,Proposed, Battery Storage ,2911,S00081,May 2025,
 SA1 ,Project,Goyder BESS,Neoen Australia Pty Ltd, Storage - Battery ,Other - Other,,1, 300.00 , 300.00 , 300.00 , 300.00 , 300.00 ,1200.00, Publicly Announced ,S,,2049,,Proposed, Battery Storage ,2904,S00078,May 2025,
 SA1 ,Project,Goyder North Renewable Energy Facility,Neoen Australia, Wind Turbine - Onshore ,Wind - Wind,,100, 0.02 , 6.00 , 2.00 , 600.00 , 2.00 - 600.00 ,, Publicly Announced ,SS,Dec 2028,2059,,Proposed, Wind ,2757,S00072,May 2025,17-03-2025
 SA1 ,Existing Plant,Goyder South Wind Farm 1A,Goyder Wind Farm 1A Pty Ltd as trustee for Goyder Wind Farm 1A Trust, Wind Turbine - Onshore ,Wind - Wind,GSWF1A,38, -   , 5.50 , -   , 209.00 , 209.00 ,, In Commissioning ,SS,Dec 2024,2048,,Existing less Announced Withdrawal, Wind ,1964,S00003,May 2025,14-03-2025
 SA1 ,Existing Plant,Goyder South Wind Farm 1B,Goyder Wind Farm 1B Pty Ltd as trustee for Goyder Wind Farm 1B Trust, Wind Turbine - Onshore ,Wind - Wind,GSWF1B1,37, -   , 5.50 , -   , 203.50 , 203.50 ,, In Commissioning ,SS,Dec 2024,2049,,Existing less Announced Withdrawal, Wind ,2404,S00003,May 2025,14-03-2025
 VIC1 ,Project,Grahamvale BESS - KCI,AE BESS 3 Pty Ltd as Trustee for AE BESS 3 Unit Trust, Storage - Battery ,Other - Other,,1, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 ,0.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2738,V00148,,
 NSW1 ,Existing Plant,Grange Avenue,EDL LFG NSW Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas,GRANGEAV,1, 1.26 , 1.26 , 1.26 , 1.26 , 1.26 ,, In Service ,NS,,2025,,Existing less Announced Withdrawal, Biomass ,1329,,Oct 2024,10-10-2024
 NSW1 ,Project,Granite Hills Wind Farm,Akuo Energy, Wind Turbine - Onshore ,Wind - Wind,,121, 1.00 , 1.00 , 121.00 , 121.00 , 121.00 ,, Publicly Announced ,SS,,,,Proposed, Wind ,1624,,Oct 2024,
 TAS1 ,Existing Plant,Granville Harbour Wind Farm,Granville Harbour Operations Pty Ltd as trustee for Granville Harbour Operations Trust, Wind Turbine - Onshore ,Wind - Wind,GRANWF1,31, 3.60 , 3.60 , 111.60 , 111.60 , 111.60 ,, In Service ,SS,Dec 2020,2055,,Existing less Announced Withdrawal, Wind ,1322,,May 2025,02-06-2025
 VIC1 ,Project,Great Eastern Offshore Wind - KCI,GIG Australian Offshore Wind Energy Holdings Pty Ltd, Wind Turbine - Offshore ,Wind - Wind,,1," 2,508.00 "," 2,508.00 "," 2,508.00 "," 2,508.00 "," 2,508.00 ",, Publicly Announced ,TBA,,,,Proposed, Wind ,2403,V00100,Sep 2023,
 TAS1 ,Project,Great Lakes Battery,Neoen Australia Pty Ltd, Storage - Battery ,Other - Other,,1, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 ,150.00, Publicly Announced ,S,Dec 2028,2050,,Proposed, Battery Storage ,2233,T00013,Feb 2025,13-03-2025
 NSW1 ,Project,Great Western Battery Project,Neoen Australia Pty Ltd, Storage - Battery ,Other - Other,,1,, 500.00 ,, 500.00 , 500.00 ,2000.00, Publicly Announced ,S,Dec 2028,,,Proposed, Battery Storage ,1869,N00032,Feb 2025,10-03-2025
 VIC1 ,Project,Greater Southern Offshore Wind - KCI, Greater Southern Offshore Wind Farm Project Co Pty Ltd, Wind Turbine - Offshore ,Wind - Wind,,1," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 ",, Publicly Announced ,TBA,,,,Proposed, Wind ,2337,V00082,Sep 2023,
 QLD1 ,Project,Green Poly BESS Project (KCI),Solquartz Holdings Pty Ltd, Storage - Battery ,Other - Other,,1, 750.00 , 750.00 , 750.00 , 750.00 , 750.00 ,0.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2833,Q00196,,
 QLD1 ,Existing Plant,Greenbank BESS,CSE BESS Pty Ltd, Storage - Battery ,Other - Other,GREENB1,1,, 200.00 ,, 200.00 , 200.00 ,400.00, In Commissioning ,S,Jun 2025,2044,,Existing less Announced Withdrawal, Battery Storage ,2170,Q00045,May 2025,14-03-2025
 NSW1 ,Project,Gregadoo Solar Farm,Gregadoo Solar Farm Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1, 45.00 , 45.00 , 45.00 , 45.00 , 45.00 ,, Publicly Announced ,NS,,,,Proposed, Solar ,1543,N00028,Nov 2024,
 NSW1 ,Project,Griffith BESS,Eku Energy Projects (Australia) Trust, Storage - Battery ,Other - Other,,1,, 100.00 ,, 100.00 , 100.00 ,800.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2758,N00174,May 2025,18-03-2025
 NSW1 ,Existing Plant,Griffith Solar Farm,Griffith Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,GRIFSF1,12, -   , 2.27 , -   , 27.19 , 27.19 ,, In Service ,NS,,2042,,Existing less Announced Withdrawal, Solar ,1403,,Oct 2024,04-12-2024
 QLD1 ,Existing Plant,Grosvenor 1,EDL Projects Australia Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Waste Coal Mine Gas,,7,, 3.00 ,, 21.00 , 21.00 ,, In Service ,NS,,2038,,Existing less Announced Withdrawal, Gas other ,1428,,Oct 2024,10-10-2024
 QLD1 ,Project,Grosvenor 2 Waste Coal Mine Gas Power Station,EDL Projects Australia Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Coal Seam Methane,,1, 15.21 , 15.21 , 15.21 , 15.21 , 15.21 ,, Publicly Announced ,NS,,2038,,Proposed, Gas other ,1582,,Mar 2022,10-10-2024
 TAS1 ,Project,Guildford Wind Farm,ARK Energy Corporation Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,73,, 7.20 ,, 525.60 , 525.60 ,, Publicly Announced ,SS,,,,Proposed, Wind ,2008,T00005,Feb 2025,12-03-2025
 NSW1 ,Project,Gullen Range Battery Energy System,goldwindaustralia_NR, Storage - Battery ,Other - Other,,1,, 500.00 ,, 500.00 , 500.00 ,500.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2689,N00179,Feb 2025,17-03-2025
 NSW1 ,Existing Plant,Gullen Range Solar Farm,New Gullen Range Wind Farm Pty Ltd, Solar PV - Fixed ,Solar - Solar,GULLRSF1,4, 2.50 , 2.50 , 10.00 , 10.00 , 10.00 ,, In Service ,SS,,2100,,Existing less Announced Withdrawal, Solar ,1432,,Feb 2025,19-03-2025
 NSW1 ,Existing Plant,Gullen Range Wind Farm,New Gullen Range Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,GULLRWF1,17, 1.50 , 1.50 , 25.50 , 25.50 , 25.50 ,, In Service ,SS,,2100,,Existing less Announced Withdrawal, Wind ,1422,,Feb 2025,19-03-2025
 NSW1 ,Existing Plant,Gullen Range Wind Farm,New Gullen Range Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,GULLRWF1,56, 2.50 , 2.50 , 140.00 , 140.00 , 140.00 ,, In Service ,SS,,2100,,Existing less Announced Withdrawal, Wind ,1422,,Feb 2025,19-03-2025
 NSW1 ,Existing Plant,Gullen Range Wind Farm 2,BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD, Wind Turbine - Onshore ,Wind - Wind,GULLRWF2,31, 3.57 , 3.57 , 110.67 , 110.67 , 110.67 ,, In Service ,SS,Dec 2023,2120,,Existing less Announced Withdrawal, Wind ,1588,,Feb 2025,19-03-2025
 NSW1 ,Project,Gundary Solar Farm - KCI, Lightsource Development Services Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar,,4, 100.00 , 100.00 , 400.00 , 400.00 , 400.00 ,, Publicly Announced ,SS,,,,Proposed, Solar ,2212,N00081,May 2025,
 NSW1 ,Project,Gundary Solar Farm - KCI, Lightsource Development Services Australia Pty Ltd, Storage - Battery ,Other - Other,,1, 200.00 , 200.00 , 200.00 , 200.00 , 200.00 ,0.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2212,N00081,May 2025,
 NSW1 ,Project,Gunnedah BESS, Gunnedah Battery Subco Pty Ltd, Storage - Battery ,Other - Other,,1, 70.00 , 70.00 , 70.00 , 70.00 , 70.00 ,0.00, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2217,N00088,May 2025,
 NSW1 ,Project,Gunnedah East BESS (Green Leap) - KCI,Green Leap P/L, Storage - Battery ,Other - Other,,25, 4.00 , 4.00 , 100.00 , 100.00 , 100.00 ,0.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2713,N00153,,
 NSW1 ,Existing Plant,Gunnedah Solar Farm,Gunnedah SF Pty Ltd atf Gunnedah Asset Trust, Solar PV - Single axis tracking ,Solar - Solar,GNNDHSF1,1, -   , 110.00 , -   , 110.00 , 110.00 ,, In Service ,SS,Oct 2021,2056,,Existing less Announced Withdrawal, Solar ,1585,,Feb 2025,14-03-2025
 NSW1 ,Project,Gunning Solar Farm (Canadian), Canadian Solar, Solar PV - Fixed ,Solar - Solar,,70, 3.40 , 4.20 , 238.00 , 294.00 , 238.00 - 294.00 ,, Publicly Announced ,TBA,,,,Proposed, Solar ,2186,N00045,May 2025,
 NSW1 ,Project,Gunning Solar Farm (Canadian), Canadian Solar, Storage - Battery ,Other - Other,,1, 200.00 , 200.00 , 200.00 , 200.00 , 200.00 ,0.00, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2186,N00045,May 2025,
 NSW1 ,Existing Plant,Gunning Wind Farm,Gunning Wind Energy Developments, Wind Turbine - Onshore ,Wind - Wind,GUNNING1,11,, 1.50 ,, 16.50 , 16.50 ,, In Service ,SS,,2036,,Existing less Announced Withdrawal, Wind ,1082,,May 2025,23-02-2024
 NSW1 ,Existing Plant,Gunning Wind Farm,Gunning Wind Energy Developments, Wind Turbine - Onshore ,Wind - Wind,GUNNING1,20,, 1.50 ,, 30.00 , 30.00 ,, In Service ,SS,,2036,,Existing less Announced Withdrawal, Wind ,1082,,May 2025,23-02-2024
 QLD1 ,Project,Gunsynd Solar Farm,ARP, Solar PV - Fixed ,Solar - Solar,,1, 94.00 , 94.00 , 94.00 , 94.00 , 94.00 ,, Publicly Announced ,SS,Dec 2022,,,Proposed, Solar ,2422,,May 2025,
 QLD1 ,Project,Gurambilbarra Energy Hub,365 Future Energy, Other - Other ,Other - Other,,1," 1,186.00 "," 1,186.00 "," 1,186.00 "," 1,186.00 "," 1,186.00 ",, Publicly Announced ,TBA,,,,Proposed, Other ,2565,Q00102,Sep 2023,
 NSW1 ,Existing Plant,Guthega,Snowy Hydro Ltd, Hydro - Dam ,Hydro - Water,GUTHEGA,2,, 30.00 ,, 60.00 , 60.00 ,, In Service ,S,,2070,,Existing less Announced Withdrawal, Water ,1083,,Feb 2025,14-03-2025
 QLD1 ,Project,Guthrie's Gap Solar Farm,Edify Energy Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1, 300.00 , 300.00 , 300.00 , 300.00 , 300.00 ,, Publicly Announced ,SS,,,,Proposed, Solar ,3068,Q00246,,
 VIC1 ,Existing Plant,Hallam Road,LMS Energy Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas,HALAMRD1,8,, 1.12 ,, 8.98 , 8.98 ,, In Service ,NS,,2044,,Existing less Announced Withdrawal, Biomass ,1084,,Oct 2024,11-10-2024
 SA1 ,Existing Plant,Hallett 4 North Brown Hill,Brown Hill North Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,NBHWF1,63, 2.10 , 2.10 , 132.30 , 132.30 , 132.30 ,, In Service ,SS,,2036,,Existing less Announced Withdrawal, Wind ,1311,,Feb 2025,20-03-2025
 SA1 ,Existing Plant,Hallett 5 The Bluff WF,Eurus Energy, Wind Turbine - Onshore ,Wind - Wind,BLUFF1,25,, 2.10 ,, 52.50 , 52.50 ,, In Service ,SS,,2036,,Existing less Announced Withdrawal, Wind ,1085,,Feb 2025,11-03-2025
 SA1 ,Project,Hallett BESS,EnergyAustralia Hallett Pty Ltd, Storage - Battery ,Other - Other,,1,, 50.00 ,, 50.00 , 50.00 ,200.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2685,,May 2025,12-03-2025
 SA1 ,Existing Plant,Hallett GT,EnergyAustralia Hallett Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline,AGLHAL,1,, 17.00 ,, 17.00 , 17.00 ,, In Service ,S,,2036,,Existing less Announced Withdrawal, OCGT ,1086,,Feb 2025,02-06-2025
